Starting rpc server at 0.0.0.0:9001...
{"@timestamp":"2026-05-03T18:53:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 213, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:54:00.126+08:00","caller":"stat/usage.go:82","content":"CPU: 31m, MEMORY: Alloc=9.6Mi, TotalAlloc=97.5Mi, Sys=21.6Mi, NumGC=23","level":"stat"}
{"@timestamp":"2026-05-03T18:54:00.137+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 31, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:55:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 40m, MEMORY: Alloc=7.5Mi, TotalAlloc=100.8Mi, Sys=21.6Mi, NumGC=24","level":"stat"}
{"@timestamp":"2026-05-03T18:55:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 40, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:56:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 33m, MEMORY: Alloc=10.6Mi, TotalAlloc=103.9Mi, Sys=21.6Mi, NumGC=24","level":"stat"}
{"@timestamp":"2026-05-03T18:56:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 33, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:57:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 34m, MEMORY: Alloc=8.5Mi, TotalAlloc=107.2Mi, Sys=21.6Mi, NumGC=25","level":"stat"}
{"@timestamp":"2026-05-03T18:57:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 34, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:58:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 68m, MEMORY: Alloc=6.3Mi, TotalAlloc=110.6Mi, Sys=21.6Mi, NumGC=26","level":"stat"}
{"@timestamp":"2026-05-03T18:58:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 68, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T18:59:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 198m, MEMORY: Alloc=9.3Mi, TotalAlloc=113.6Mi, Sys=21.6Mi, NumGC=26","level":"stat"}
{"@timestamp":"2026-05-03T18:59:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 198, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:00:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 93m, MEMORY: Alloc=7.4Mi, TotalAlloc=116.9Mi, Sys=21.6Mi, NumGC=27","level":"stat"}
{"@timestamp":"2026-05-03T19:00:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 93, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:01:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 37m, MEMORY: Alloc=5.7Mi, TotalAlloc=120.4Mi, Sys=21.6Mi, NumGC=28","level":"stat"}
{"@timestamp":"2026-05-03T19:01:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 37, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:02:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 75m, MEMORY: Alloc=8.6Mi, TotalAlloc=123.3Mi, Sys=21.6Mi, NumGC=28","level":"stat"}
{"@timestamp":"2026-05-03T19:02:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 75, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:03:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 108m, MEMORY: Alloc=6.7Mi, TotalAlloc=126.6Mi, Sys=21.6Mi, NumGC=29","level":"stat"}
{"@timestamp":"2026-05-03T19:03:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 108, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:04:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 44m, MEMORY: Alloc=9.7Mi, TotalAlloc=129.7Mi, Sys=21.6Mi, NumGC=29","level":"stat"}
{"@timestamp":"2026-05-03T19:04:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 44, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:05:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 44m, MEMORY: Alloc=7.9Mi, TotalAlloc=133.0Mi, Sys=21.6Mi, NumGC=30","level":"stat"}
{"@timestamp":"2026-05-03T19:05:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 44, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:06:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 35m, MEMORY: Alloc=6.0Mi, TotalAlloc=136.4Mi, Sys=21.6Mi, NumGC=31","level":"stat"}
{"@timestamp":"2026-05-03T19:06:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 35, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:07:00.556+08:00","caller":"stat/usage.go:82","content":"CPU: 53m, MEMORY: Alloc=8.9Mi, TotalAlloc=139.4Mi, Sys=21.6Mi, NumGC=31","level":"stat"}
{"@timestamp":"2026-05-03T19:07:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 53, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:08:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 73m, MEMORY: Alloc=7.1Mi, TotalAlloc=142.8Mi, Sys=21.6Mi, NumGC=32","level":"stat"}
{"@timestamp":"2026-05-03T19:08:00.567+08:00","caller":"load/sheddingstat.go:61","content":"(rpc) shedding_stat [1m], cpu: 73, total: 0, pass: 0, drop: 0","level":"stat"}
{"@timestamp":"2026-05-03T19:09:00.557+08:00","caller":"stat/usage.go:82","content":"CPU: 37m, MEMORY: Alloc=10.2Mi, TotalAlloc=145.9Mi, Sys=21.6Mi, NumGC=32","level":"stat"}
